Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
chunked/write/BSparseStore,1.0678859016471359e-4,1.0626318252210361e-4,1.0753453373278037e-4,2.082811398682668e-6,1.6933567409203432e-6,2.574381760758573e-6
chunked/write/USparseStore,1.2085022378288641e-4,1.204847674278517e-4,1.2133619101910893e-4,1.5068753901549926e-6,1.1457504418691596e-6,2.3828004063433434e-6
chunked/write/BArrayMap-32B,1.922312918137027e-4,1.9164070548528068e-4,1.9309420756609823e-4,2.4140431099266626e-6,1.7055295536232125e-6,3.391050132432902e-6
chunked/write/UArrayMap-32B,1.6330294981297715e-4,1.6267008636664126e-4,1.6423644756599726e-4,2.527845023837064e-6,1.7451206329012752e-6,3.7839053123238987e-6
chunked/write/BSparseStore-32B,1.13299666375694e-4,1.1298203538776276e-4,1.1379306897510315e-4,1.2711742940037974e-6,8.560057999363391e-7,1.7125752401926594e-6
chunked/write/USparseStore-32B,1.4767976285753006e-4,1.473555479270881e-4,1.4817808967668774e-4,1.2972273816411323e-6,1.007836141312933e-6,1.9388954346339753e-6
chunked/write/BArrayMap-64B,2.1399262753555047e-4,2.1239050947335211e-4,2.1613448123083457e-4,6.071122542886642e-6,5.109698858860077e-6,7.423684499001537e-6
chunked/write/UArrayMap-64B,8.207533785006127e-4,8.129254136228334e-4,8.293907010794096e-4,2.6925408753682866e-5,2.1951946441592107e-5,3.32655509193892e-5
chunked/write/BSparseStore-64B,1.1732987232950728e-4,1.1686104831080126e-4,1.1802802025791979e-4,1.9432090790846583e-6,1.5257764140353974e-6,2.4183149572556046e-6
chunked/write/USparseStore-64B,1.7480421539723228e-4,1.743894561501242e-4,1.7537363219375632e-4,1.6127809609121846e-6,1.2710554719559486e-6,2.345113923670585e-6
chunked/read/Map,3.9471359246729667e-4,3.932812454128125e-4,3.9708143031010865e-4,6.201165412569301e-6,3.911408438639143e-6,1.0613984292566738e-5
chunked/read/Cache-16384,2.4823291009414266e-4,2.4685609563357267e-4,2.5064226688663815e-4,5.939445752854755e-6,4.184130652107368e-6,9.019079536656196e-6
chunked/read/BArrayMap,1.2006167970129377e-4,1.1956242575164869e-4,1.2104242776402814e-4,2.265633998381036e-6,1.3898440876271662e-6,3.9154578145941476e-6
chunked/read/UArrayMap,2.390210505267459e-5,2.3801990126917997e-5,2.403285170726656e-5,4.028023082862726e-7,3.0889585815535974e-7,5.1439335044495e-7
chunked/read/BChunkStore,2.1636066747161048e-4,2.1551694334756585e-4,2.171972632149001e-4,2.920654973950274e-6,2.3609942090893493e-6,3.96427112575955e-6
chunked/read/UChunkStore,2.455487420292367e-4,2.441562714022672e-4,2.4701238037540567e-4,4.857059527861663e-6,3.973200147442888e-6,6.212382772510846e-6
chunked/read/BSparseStore,1.2930314959259652e-4,1.286083831585533e-4,1.303335238278104e-4,2.9090209106685032e-6,2.233083590125893e-6,4.113159098300385e-6
chunked/read/USparseStore,3.8071058369702696e-5,3.7883998254547156e-5,3.8313330274829476e-5,7.179034010635073e-7,5.535997177445783e-7,9.368498836415995e-7
chunked/read/BArrayMap-32B,1.3703762319662336e-4,1.3617497676109649e-4,1.3798667385653819e-4,3.0337337697436406e-6,2.556511005462732e-6,3.7719353611510595e-6
chunked/read/UArrayMap-32B,1.3029486926291386e-4,1.2947095150680593e-4,1.312086163032696e-4,2.8114622675200017e-6,2.1990959987727735e-6,3.6809421893452072e-6
chunked/read/BSparseStore-32B,1.4175124662450388e-4,1.4116694664796317e-4,1.426267987819887e-4,2.390112436028998e-6,1.729285213903406e-6,3.834490386043513e-6
chunked/read/USparseStore-32B,1.4213905744008546e-4,1.4158686110481798e-4,1.43316094991924e-4,2.7172059826613645e-6,1.5992475072506393e-6,4.946483379988282e-6
chunked/read/BArrayMap-64B,1.3531053901885256e-4,1.3466442029015337e-4,1.360140359947841e-4,2.1947538724866786e-6,1.8120803164505213e-6,2.6246971985454124e-6
chunked/read/UArrayMap-64B,1.328130587704169e-4,1.31935566137411e-4,1.3375059601514024e-4,3.0906846863884286e-6,2.43817170708145e-6,4.067270725519359e-6
chunked/read/BSparseStore-64B,1.436025660760536e-4,1.4318989017313423e-4,1.4425322638315e-4,1.7693864750560525e-6,1.2655121445337125e-6,3.014085120470548e-6
chunked/read/USparseStore-64B,1.391020503750904e-4,1.3822702687412157e-4,1.3991740854738536e-4,2.822931159105981e-6,2.322460262272368e-6,3.588982208286901e-6
random/write/Map,1.0188782971383957e-3,1.0109531573667032e-3,1.0323731901044173e-3,3.1415639526686894e-5,2.183562382557704e-5,4.343036624842636e-5
random/write/Cache-16384,5.011772882685593e-5,4.995914866670193e-5,5.0464228716000833e-5,8.046141686163809e-7,4.902310810863241e-7,1.3446541219309186e-6
random/write/BArrayMap,7.098981604439576e-5,7.082825431597775e-5,7.125281387248647e-5,7.056826256934405e-7,5.395465162497259e-7,9.971305078859609e-7
random/write/UArrayMap,6.487897623436533e-5,6.473425835297376e-5,6.513408202099186e-5,6.62216043534369e-7,4.652508430727364e-7,9.762542504418983e-7
random/write/BChunkStore,1.5085990704356942e-4,1.5029637649249816e-4,1.5188423544311054e-4,2.5116776911878877e-6,1.5374760730150817e-6,4.255723250838686e-6
random/write/UChunkStore,1.4431552706724532e-4,1.4354784129732835e-4,1.4518535523349072e-4,2.795898195185773e-6,2.1899240495754855e-6,3.605956353456095e-6
random/write/BSparseStore,9.719307498930917e-5,9.663312110719508e-5,9.821789250206844e-5,2.428783650405566e-6,1.689661588387535e-6,3.6954775162242636e-6
random/write/USparseStore,1.0891228319037663e-4,1.0854388904411233e-4,1.0992658666147942e-4,1.876827330756475e-6,8.059027835035418e-7,3.8408355866313325e-6
random/write/BArrayMap-32B,8.655177746577074e-5,8.634160149894469e-5,8.68141113065595e-5,7.802438253311445e-7,6.141443647464167e-7,1.05417984796475e-6
random/write/UArrayMap-32B,9.011403013006734e-5,8.98624870007951e-5,9.046327777919701e-5,1.0084653657633823e-6,6.85485208320259e-7,1.4486806969170075e-6
random/write/BSparseStore-32B,1.1263994337992418e-4,1.1231140406675432e-4,1.1318235937647628e-4,1.3481673932201105e-6,8.956756422565374e-7,1.9764755785714827e-6
random/write/USparseStore-32B,1.3600782933303568e-4,1.356449172725185e-4,1.3662126237431324e-4,1.565389475266718e-6,1.0754939053250497e-6,2.483659739389926e-6
random/write/BArrayMap-64B,1.0351399173731241e-4,1.0307409437873806e-4,1.0413107155530833e-4,1.8116016190655445e-6,1.2097155014466733e-6,2.648311919304588e-6
random/write/UArrayMap-64B,1.1548167486722002e-4,1.1514303679353896e-4,1.1595826408234379e-4,1.3952844905247927e-6,1.0284376088254288e-6,2.2243815655572513e-6
random/write/BSparseStore-64B,1.4512608978667902e-4,1.4368856269850321e-4,1.475083209237979e-4,6.265446749991974e-6,4.436959348121575e-6,9.683290352562382e-6
random/write/USparseStore-64B,1.649588092292739e-4,1.6424253070065746e-4,1.6595247269331743e-4,2.946138646202228e-6,2.288664871740743e-6,4.486647372116626e-6
random/read/Map,6.922106548202554e-4,6.819545091510948e-4,7.071744048851899e-4,4.164740519505856e-5,3.171968105818802e-5,5.467731010857891e-5
random/read/Cache-16384,1.3222389860310978e-4,1.3136597081900666e-4,1.3305078947413194e-4,2.9297235464465123e-6,2.4661452845105287e-6,3.71550189342339e-6
random/read/BArrayMap,1.2956560660411638e-4,1.2870293189990475e-4,1.3056720604315554e-4,3.1375033963155868e-6,2.617873486671504e-6,4.417460867442027e-6
random/read/UArrayMap,2.6246198319147345e-5,2.6042209347787016e-5,2.6473621479927337e-5,7.439453121636108e-7,6.392604330327132e-7,9.491842575091446e-7
random/read/BChunkStore,2.2790846687736126e-4,2.269572040542238e-4,2.2905248782637116e-4,3.539854564569424e-6,2.9284473620543997e-6,4.185114209165888e-6
random/read/UChunkStore,2.54862630326748e-4,2.529656227263054e-4,2.570628106647503e-4,6.746744126404389e-6,5.21873473961146e-6,8.734685090440891e-6
random/read/BSparseStore,1.3039684831175557e-4,1.2966045824150778e-4,1.310107259353783e-4,2.2065111372502085e-6,1.73521899668214e-6,3.1156013572260977e-6
random/read/USparseStore,3.8316221194422815e-5,3.8109833680316564e-5,3.854165905594491e-5,7.100533088926899e-7,5.871340954307439e-7,9.025069776773154e-7
random/read/BArrayMap-32B,1.4722230161175466e-4,1.4612617643181203e-4,1.4889563435610136e-4,4.543599075360976e-6,3.278638882778213e-6,6.671691483355418e-6
random/read/UArrayMap-32B,1.318658981519492e-4,1.3134603574744535e-4,1.323543875343955e-4,1.719489422620594e-6,1.1818261713101613e-6,2.5534704600828472e-6
random/read/BSparseStore-32B,1.4842087018887172e-4,1.4469915550006053e-4,1.5664767556870145e-4,1.6439118343754768e-5,8.782613913014837e-6,3.0831318681010566e-5
random/read/USparseStore-32B,1.723582869970128e-4,1.6736424549783198e-4,1.7991378369000191e-4,2.0189047609664586e-5,1.360331800249253e-5,3.0389576153748554e-5
random/read/BArrayMap-64B,1.6022479027771113e-4,1.5789406742060662e-4,1.6333997547620768e-4,8.999817837282905e-6,6.404708126385149e-6,1.2450489064132526e-5
random/read/UArrayMap-64B,1.3255143752406105e-4,1.320659361330049e-4,1.331275305573622e-4,1.6925490397534737e-6,1.2271554103927665e-6,2.694387378483333e-6
random/read/BSparseStore-64B,1.4546151126021962e-4,1.449304752717088e-4,1.4607937104073397e-4,2.0010947808866312e-6,1.4697745709812917e-6,2.7966334453517674e-6
random/read/USparseStore-64B,1.4187138241481963e-4,1.4146533176983173e-4,1.4254195112603887e-4,1.8053531920719198e-6,1.1134862498107543e-6,2.8669306043398543e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
linear/write/Map,2.3113642095170422e-4,2.304346342566176e-4,2.320694814373982e-4,2.5999340057127938e-6,2.0340285486180233e-6,3.2272244489460633e-6
linear/write/Cache-16384,4.014687635166017e-5,3.993024406932223e-5,4.038677048795114e-5,8.383004382350811e-7,7.378225864210584e-7,1.0314465753391228e-6
linear/write/BArrayMap,6.93123365658041e-5,6.908032445460383e-5,6.961347975575586e-5,8.723988945657625e-7,6.931087646199058e-7,1.1358299212672004e-6
linear/write/UArrayMap,6.550495323579308e-5,6.512386730290531e-5,6.59962423799025e-5,1.4205196725009512e-6,1.1842654885085268e-6,1.8931783530838991e-6
linear/write/BChunkStore,8.742086613949995e-5,8.681403522283994e-5,8.805092491277559e-5,2.1436150006604145e-6,1.856302554278334e-6,2.4705053619104496e-6
linear/write/UChunkStore,7.696500604899317e-5,7.659554022078111e-5,7.748373379907775e-5,1.5103233173993298e-6,1.229293606638521e-6,2.0152337818876514e-6
linear/write/BSparseStore,9.675938736913288e-5,9.643015217489861e-5,9.719571568131199e-5,1.2477599246949675e-6,9.13301018275368e-7,1.730878218929586e-6
linear/write/USparseStore,1.0871693011413112e-4,1.0849142889630462e-4,1.0904486927950188e-4,9.600047352531155e-7,6.683263681494111e-7,1.3183272840901707e-6
linear/read/Map,3.8888820431866794e-4,3.875880806184866e-4,3.9056113465454635e-4,5.171912400506308e-6,4.170674433854881e-6,7.2281503770851475e-6
linear/read/Cache-16384,1.236085851130784e-4,1.2326271835999344e-4,1.2401541380943913e-4,1.2928047554637587e-6,1.0178895536107435e-6,1.7667575231192946e-6
linear/read/BArrayMap,1.224578175922878e-4,1.2173696024978161e-4,1.2305523603803415e-4,2.187317744735574e-6,1.6628154844096286e-6,2.868381116460061e-6
linear/read/UArrayMap,2.4833276999289013e-5,2.46977970105838e-5,2.503144773811785e-5,5.343369977125766e-7,3.539916093051361e-7,8.021342991314863e-7
linear/read/BChunkStore,2.176091484368456e-4,2.1682702083579774e-4,2.1859910535361555e-4,2.888741007451292e-6,2.1582410460056005e-6,3.645134989646349e-6
linear/read/UChunkStore,2.477152645821377e-4,2.4680446835744825e-4,2.4939700734224324e-4,4.06678008278505e-6,2.6551847551847555e-6,6.639237827656761e-6
linear/read/BSparseStore,1.2653621296500773e-4,1.2616598245933803e-4,1.2706172461661303e-4,1.4892630194727772e-6,1.1771755129021066e-6,1.9181170543937366e-6
linear/read/USparseStore,3.754428932467598e-5,3.7447487458254916e-5,3.774044259947383e-5,4.2635421318216e-7,2.462310869070938e-7,7.572671516861342e-7
chunked/write/Map,2.3073448109372106e-4,2.2997018967592592e-4,2.3209865964785232e-4,3.2203625123251e-6,2.2291734747547905e-6,5.014199027846319e-6
chunked/write/Cache-16384,1.6319396095106564e-4,1.62817912387237e-4,1.6392604391720782e-4,1.7646053460888166e-6,1.142497592414465e-6,2.9437793147461312e-6
chunked/write/BArrayMap,1.644905679118494e-4,1.628042936119458e-4,1.6613544571108483e-4,5.66779782463105e-6,5.132865068474409e-6,6.277042954328802e-6
chunked/write/UArrayMap,7.289557532100958e-5,7.264237513460448e-5,7.342248375543891e-5,1.1737947611132757e-6,5.852724714547984e-7,1.834656010275571e-6
chunked/write/BChunkStore,8.579377551163205e-5,8.55382167982398e-5,8.618919823309325e-5,1.0861043936143405e-6,8.009725569609108e-7,1.6010315005882342e-6
chunked/write/UChunkStore,7.596677201361097e-5,7.572675206722402e-5,7.649307853345379e-5,1.1494576400815992e-6,6.420817579232828e-7,2.2170514677532572e-6
chunked/write/BSparseStore,1.0595351259044772e-4,1.0568282784703338e-4,1.0640510110819684e-4,1.1616048726673308e-6,6.113267640267717e-7,1.755501380344053e-6
chunked/write/USparseStore,1.204242594913477e-4,1.2016186811134572e-4,1.2083241674199338e-4,1.0276618579081594e-6,6.969638233874533e-7,1.7522499001515203e-6
chunked/read/Map,3.9226580605812735e-4,3.901571281354775e-4,3.9622682014269503e-4,9.69537752479844e-6,5.843060481426094e-6,1.6181608672596293e-5
chunked/read/Cache-16384,2.445385780221935e-4,2.4327977516002918e-4,2.4745175662355665e-4,6.350156555294639e-6,4.326299522384414e-6,9.681377353108577e-6
chunked/read/BArrayMap,1.2159338983245337e-4,1.2072631213040167e-4,1.2225884463867254e-4,2.7667310010527035e-6,2.3578281994936567e-6,3.267960246369226e-6
chunked/read/UArrayMap,2.513702578702777e-5,2.505046545983626e-5,2.5300180779127794e-5,3.9986009898505804e-7,2.3686177927881353e-7,7.087103870786316e-7
chunked/read/BChunkStore,2.1697352355009938e-4,2.1639805763243569e-4,2.1789790463355133e-4,2.3542832419018755e-6,1.7374748159482948e-6,3.3078536713674627e-6
chunked/read/UChunkStore,2.4392409614809094e-4,2.429880267691739e-4,2.447564595419876e-4,3.0255160601214784e-6,2.4520829737711e-6,3.8479728875292845e-6
chunked/read/BSparseStore,1.2654961915628567e-4,1.2606948954851653e-4,1.2703748968575818e-4,1.5844489748036113e-6,1.1360002857395338e-6,2.2889515610439944e-6
chunked/read/USparseStore,3.826781264862483e-5,3.8049649429587325e-5,3.8561713692961994e-5,8.684020370102178e-7,6.246043733639893e-7,1.1441899369523235e-6
random/write/Map,1.0190507415276358e-3,1.0145196003061927e-3,1.0278793335982326e-3,2.024528108850592e-5,1.3065868399788776e-5,3.649108189171585e-5
random/write/Cache-16384,5.52880927882506e-5,5.516940525728659e-5,5.546944550008019e-5,5.069169984902479e-7,3.3607317040884716e-7,8.841472942154128e-7
random/write/BArrayMap,6.845177414512952e-5,6.831967365005014e-5,6.868237270816357e-5,5.874806861915418e-7,4.136265646709436e-7,8.385138191265847e-7
random/write/UArrayMap,6.504005692857156e-5,6.48326044448243e-5,6.527973263148415e-5,7.7119716713529e-7,5.984902715470279e-7,1.0237959611003706e-6
random/write/BChunkStore,1.541131108396685e-4,1.5351947007870376e-4,1.5528062368039074e-4,2.6547654029331873e-6,1.4186686680009242e-6,4.823438138645797e-6
random/write/UChunkStore,1.445485226781088e-4,1.439669242087997e-4,1.4623080868259234e-4,3.176921058882894e-6,1.8533534278605362e-6,5.7106017584051806e-6
random/write/BSparseStore,9.913471053638867e-5,9.88893774307663e-5,9.950064335175659e-5,9.673381636640907e-7,7.247177025660381e-7,1.3814309507104443e-6
random/write/USparseStore,1.0856259779554162e-4,1.0830743453331428e-4,1.0899622232474204e-4,1.1483066339393054e-6,7.361797786293751e-7,1.886450570022123e-6
random/read/Map,6.658830196017671e-4,6.589911476223833e-4,6.735929915172833e-4,2.4515848060611355e-5,1.9357725885469918e-5,3.342199711046403e-5
random/read/Cache-16384,1.332878081576751e-4,1.3260635896466635e-4,1.3417516675096332e-4,2.6187644239870683e-6,2.1444375003510624e-6,3.3748236042846826e-6
random/read/BArrayMap,1.2749027649137937e-4,1.2702561731373465e-4,1.2828966566333315e-4,2.070961294501497e-6,1.384707555247214e-6,3.2984272066131547e-6
random/read/UArrayMap,2.899794349929434e-5,2.8910056014009253e-5,2.9150341464951635e-5,3.7430670977823894e-7,2.4554533116884234e-7,5.904027968442902e-7
random/read/BChunkStore,2.2437634866967447e-4,2.2369403751543106e-4,2.261470903795228e-4,3.294469579945203e-6,1.5187249561787058e-6,6.3432522130801785e-6
random/read/UChunkStore,2.5115307043826313e-4,2.500996728980112e-4,2.5235657487504727e-4,4.051619894044286e-6,3.354040299800782e-6,5.046500013399687e-6
random/read/BSparseStore,1.2763979266348555e-4,1.2669791210248455e-4,1.2842462257530612e-4,2.9048650525701715e-6,2.306391181122042e-6,3.5468234783096336e-6
random/read/USparseStore,3.823402452448079e-5,3.812807037850446e-5,3.842962863613223e-5,4.744382925537316e-7,2.691178242933629e-7,7.704664058488466e-7
large/linear/write/BArrayMap-32B,8.387944738905243e-5,8.359368929035274e-5,8.434934841853694e-5,1.2498455773595743e-6,7.641072735577752e-7,1.8390222057155292e-6
large/linear/write/UArrayMap-32B,9.110552407252522e-5,9.073979512398254e-5,9.156309641656227e-5,1.3584968787551969e-6,1.0886357469985192e-6,1.6232413839840247e-6
large/linear/write/BSparseStore-32B,1.155481591247083e-4,1.1525305200336117e-4,1.1593061451482295e-4,1.1246389353020415e-6,8.461236401132452e-7,1.5764391313117024e-6
large/linear/write/USparseStore-32B,1.3899071688413031e-4,1.386275209552074e-4,1.395439572272765e-4,1.4069502314708646e-6,1.013905258528678e-6,1.987057529204956e-6
large/linear/write/BArrayMap-64B,9.79765581874846e-5,9.768977393550812e-5,9.848917407367417e-5,1.3383221831925167e-6,7.696248410797469e-7,2.3434210650026656e-6
large/linear/write/UArrayMap-64B,1.1610997821011502e-4,1.1584079282631721e-4,1.1668145010311825e-4,1.2328472430228504e-6,8.129998884628235e-7,1.9877617578364598e-6
large/linear/write/BSparseStore-64B,1.4106687488652845e-4,1.4046635060168343e-4,1.4228763143373137e-4,2.7041880040864503e-6,1.6318646405212385e-6,4.749966031261136e-6
large/linear/write/USparseStore-64B,1.6325792466226411e-4,1.6284709052390958e-4,1.6395665442480456e-4,1.885704804186886e-6,1.2148519761837978e-6,3.0876130061716506e-6
large/linear/read/BArrayMap-32B,1.3697517246468173e-4,1.3660157013185647e-4,1.377322124068034e-4,1.6298480273907906e-6,1.045526982078766e-6,2.7482968097402363e-6
large/linear/read/UArrayMap-32B,1.3277561554708573e-4,1.3218211665513065e-4,1.3365858736059393e-4,2.4169050783848436e-6,1.6224294959643952e-6,3.5204772151816115e-6
large/linear/read/BSparseStore-32B,1.4241577672463566e-4,1.4155669649783102e-4,1.4357260906652984e-4,3.2467582516175957e-6,2.4558235602774043e-6,4.645232545601697e-6
large/linear/read/USparseStore-32B,1.4341102372500482e-4,1.42213599553242e-4,1.4488336489527646e-4,4.185451868331674e-6,3.4393893937934657e-6,5.113529262538564e-6
large/linear/read/BArrayMap-64B,1.4051648137644989e-4,1.3944454343112452e-4,1.415114995997029e-4,3.3507402264575274e-6,2.775594921461178e-6,4.274978824642695e-6
large/linear/read/UArrayMap-64B,1.3903192412341835e-4,1.382313275775825e-4,1.3965945367127753e-4,2.3250918401734033e-6,1.7132020405097105e-6,3.52677188543153e-6
large/linear/read/BSparseStore-64B,1.4244009875423932e-4,1.416846204555145e-4,1.4363106128372809e-4,3.14731632300413e-6,2.38762465835017e-6,4.160548883639174e-6
large/linear/read/USparseStore-64B,1.3951694121241168e-4,1.386542565533171e-4,1.4023995467768652e-4,2.7029262463987523e-6,2.2524727055300334e-6,3.3378841407776443e-6
large/chunked/write/BArrayMap-32B,1.9467603517300548e-4,1.9345067486382776e-4,1.9612776348838776e-4,4.709790492166584e-6,3.862973812204654e-6,5.686799141153589e-6
large/chunked/write/UArrayMap-32B,1.6377918151236107e-4,1.6304798963639636e-4,1.6471258304769722e-4,2.6301627538106865e-6,1.9382582468676502e-6,4.249931572339875e-6
large/chunked/write/BSparseStore-32B,1.1483385693581314e-4,1.1426203711098419e-4,1.1561617515887213e-4,2.236267956294582e-6,1.7623317616951692e-6,2.8079696172706764e-6
large/chunked/write/USparseStore-32B,1.5108540504982747e-4,1.5044979166708444e-4,1.520507920268732e-4,2.572046682057788e-6,1.984269849779727e-6,3.7758479959482543e-6
large/chunked/write/BArrayMap-64B,2.1378786024571736e-4,2.1273131779510414e-4,2.1506493060216559e-4,3.827952350343389e-6,3.0487456278199776e-6,4.889581463108842e-6
large/chunked/write/UArrayMap-64B,8.257806214254205e-4,8.205415777893766e-4,8.321503330307226e-4,1.8462559408848146e-5,1.4261357435179226e-5,2.3546552301631642e-5
large/chunked/write/BSparseStore-64B,1.2119172837741852e-4,1.1959632373002803e-4,1.256078459284804e-4,8.196607131745673e-6,3.6174275392142633e-6,1.5916008993997192e-5
large/chunked/write/USparseStore-64B,1.7646265052677785e-4,1.757242204294527e-4,1.775236565929217e-4,2.9893144281610677e-6,2.10565562047893e-6,4.500700083488513e-6
